t`s`float	v(rst)`V`float	v(clk)`V`float	v(d)`V`float	v(vdd!)`V`float	v(vss)`V`float
2.40954e-08	2.5	0.0384756	1.668e-05	2.49813	-0.000933793
2.41e-08	2.5	0	2.73617e-05	2.49881	-0.000593469
2.41074e-08	2.5	0	6.70125e-05	2.50158	0.000790319
2.41108e-08	2.5	0	8.51061e-05	2.50282	0.00140843
2.41203e-08	2.5	0	0.000132954	2.506	0.00299779
2.41381e-08	2.5	0	0.000210967	2.51121	0.00560294
2.41694e-08	2.5	0	0.000306701	2.51789	0.00894696
2.42068e-08	2.5	0	0.000346987	2.52141	0.0107035
2.42546e-08	2.5	0	0.000287455	2.519	0.0094992
2.43182e-08	2.5	0	9.03913e-05	2.50795	0.00397653
2.44178e-08	2.5	0	-0.000195776	2.49013	-0.00493326
2.45306e-08	2.5	0	-0.000205715	2.48769	-0.00615247
2.4676e-08	2.5	0	7.39362e-05	2.50375	0.00187293
2.48647e-08	2.5	0	0.000127475	2.50835	0.00417313
2.50638e-08	2.5	0	-0.000111101	2.494	-0.00300134
2.53832e-08	2.5	0	6.90037e-07	2.49936	-0.000319188
2.5623e-08	2.5	0	9.63241e-05	2.50602	0.00301134
2.6e-08	2.5	0	-9.17907e-05	2.49475	-0.00262399
2.60375e-08	2.5	0.3125	-1.43389e-05	2.49989	-5.38888e-05
2.60574e-08	2.5	0.478736	2.34948e-05	2.50234	0.00117216
2.61213e-08	2.5	1.01069	5.38637e-05	2.50414	0.00206924
2.61576e-08	2.5	1.31298	3.40765e-06	2.50076	0.000377487
2.61864e-08	2.5	1.55351	-5.38265e-05	2.49689	-0.00155491
2.62153e-08	2.5	1.79405	-0.000126202	2.49199	-0.00400684
2.62304e-08	2.5	1.9197	-0.000150657	2.4903	-0.00484816
2.62454e-08	2.5	2.04535	-0.00017122	2.48887	-0.00556364
2.62609e-08	2.5	2.17444	-0.000178909	2.48821	-0.00589322
2.62764e-08	2.5	2.30353	-0.000176119	2.48819	-0.00590371
2.63e-08	2.5	2.5	-0.000146214	2.48989	-0.00505406
2.63126e-08	2.5	2.5	-0.000151723	2.48914	-0.00542973
2.63185e-08	2.5	2.5	-0.000153596	2.48888	-0.00556182
2.63374e-08	2.5	2.5	-0.000148197	2.48891	-0.0055425
2.63567e-08	2.5	2.5	-0.000122368	2.49034	-0.0048313
2.63744e-08	2.5	2.5	-7.91689e-05	2.49298	-0.0035095
2.63974e-08	2.5	2.5	-1.55458e-06	2.49789	-0.00105538
2.64308e-08	2.5	2.5	0.000114863	2.50538	0.00269013
2.64659e-08	2.5	2.5	0.000205463	2.51145	0.00572575
2.65052e-08	2.5	2.5	0.00024759	2.51475	0.00737496
2.656e-08	2.5	2.5	0.000206174	2.51321	0.00660483
2.66508e-08	2.5	2.5	7.17853e-06	2.50189	0.000942929
2.6798e-08	2.5	2.5	-0.000177471	2.48972	-0.00514063
2.6973e-08	2.5	2.5	3.98613e-06	2.49948	-0.000262188
2.72141e-08	2.5	2.5	0.00011468	2.50722	0.00360896
2.74567e-08	2.5	2.5	-9.1117e-05	2.49501	-0.00249539
2.7775e-08	2.5	2.5	3.47258e-06	2.49965	-0.00017744
2.80633e-08	2.5	2.5	7.13885e-05	2.50449	0.00224725
2.85218e-08	2.5	2.5	-7.98341e-05	2.49526	-0.00237074
2.88e-08	2.5	2.5	3.7469e-05	2.50189	0.000944517
2.88375e-08	2.5	2.1875	-4.90758e-07	2.49919	-0.000403782
2.88549e-08	2.5	2.04243	-1.54621e-05	2.49818	-0.000907614
2.89106e-08	2.5	1.5782	-7.00063e-05	2.4944	-0.00280246
2.89543e-08	2.5	1.21395	-0.000112138	2.49132	-0.00434097
2.8981e-08	2.5	0.991869	-0.000133378	2.48963	-0.00518461
2.90076e-08	2.5	0.769787	-0.000151247	2.48809	-0.00595674
2.90236e-08	2.5	0.636936	-0.000151807	2.48784	-0.00607777
2.90395e-08	2.5	0.504084	-0.000147237	2.48794	-0.00603198
2.90519e-08	2.5	0.400545	-0.000134771	2.4886	-0.00570248
2.90644e-08	2.5	0.297006	-0.00011619	2.48966	-0.00517176
2.90857e-08	2.5	0.118952	-6.51105e-05	2.49282	-0.0035921
2.91e-08	2.5	0	-2.22222e-05	2.4955	-0.00224928
2.91112e-08	2.5	0	4.55409e-05	2.5001	5.16492e-05
2.91161e-08	2.5	0	7.52915e-05	2.50209	0.00104547
2.91314e-08	2.5	0	0.0001613	2.50775	0.00387704
2.91545e-08	2.5	0	0.000268949	2.51496	0.00748089
2.91882e-08	2.5	0	0.000367039	2.52196	0.0109803
2.92302e-08	2.5	0	0.000383418	2.52425	0.012125
2.92853e-08	2.5	0	0.000256387	2.51788	0.00894131
2.93642e-08	2.5	0	-4.4066e-05	2.50023	0.000115516
2.94737e-08	2.5	0	-0.000280637	2.48443	-0.00778319
2.96006e-08	2.5	0	-0.000109774	2.49271	-0.00364623
2.97659e-08	2.5	0	0.000184928	2.5108	0.00540202
2.99816e-08	2.5	0	3.96525e-06	2.50141	0.000703213
3.01927e-08	2.5	0	-0.000144259	2.49117	-0.00441515
3.0475e-08	2.5	0	9.88e-05	2.50541	0.00270505
3.07534e-08	2.5	0	1.76159e-05	2.50169	0.000842614
3.1e-08	2.5	0	-9.47306e-05	2.49415	-0.00292563
3.10375e-08	2.5	0.3125	9.36938e-06	2.50103	0.000515815
3.1054e-08	2.5	0.450127	5.16628e-05	2.50377	0.00188655
3.11069e-08	2.5	0.890533	9.7884e-05	2.50667	0.00333332
3.11444e-08	2.5	1.20356	3.71538e-05	2.50265	0.00132618
3.11696e-08	2.5	1.41337	-3.62163e-05	2.49776	-0.00112202
3.11948e-08	2.5	1.62319	-0.000135802	2.49109	-0.00445534
3.12142e-08	2.5	1.7847	-0.000195452	2.48705	-0.00647543
3.12335e-08	2.5	1.94621	-0.000251259	2.48324	-0.00838155
3.12471e-08	2.5	2.05904	-0.0002679	2.48198	-0.00900808
3.12606e-08	2.5	2.17187	-0.000272275	2.4815	-0.0092489
3.12872e-08	2.5	2.39309	-0.00022778	2.48401	-0.00799247
3.13e-08	2.5	2.5	-0.000186073	2.48651	-0.00674643
3.13105e-08	2.5	2.5	-0.000170047	2.48719	-0.00640607
3.13152e-08	2.5	2.5	-0.000162322	2.48756	-0.00622201
3.13296e-08	2.5	2.5	-0.000131122	2.4893	-0.00534894
3.13454e-08	2.5	2.5	-8.71556e-05	2.49189	-0.00405356
3.13637e-08	2.5	2.5	-2.40867e-05	2.49579	-0.00210501
3.13842e-08	2.5	2.5	6.12512e-05	2.50124	0.00062244
3.14085e-08	2.5	2.5	0.000165731	2.50808	0.00403797
3.14601e-08	2.5	2.5	0.000311491	2.51817	0.00908668
3.14955e-08	2.5	2.5	0.000329247	2.52017	0.0100861
